date,Gas
5/1/2015,2593
3/1/2015,2593
7/1/2015,2596
11/1/2016,2600
12/1/2014,2602
5/1/2017,2603
10/1/2014,2604
12/1/2018,2609
3/1/2017,2611
11/1/2018,2615
1/1/2016,2617
4/1/2015,2621
10/1/2018,2625
10/1/2014,2625
3/1/2018,2627
11/1/2018,2634
2/1/2015,2635
1/1/2015,2648
1/1/2014,2649
4/1/2017,2650
8/1/2015,2651
1/1/2018,2652
3/1/2015,2654
3/1/2015,2655
7/1/2016,2657
7/1/2015,2666
12/1/2014,2673
9/1/2016,2673
5/1/2016,2675
5/1/2014,2677
7/1/2018,2679
1/1/2015,2685
12/1/2017,2685
6/1/2014,2685
6/1/2014,2686
9/1/2014,2692
12/1/2017,2693
10/1/2017,2697
11/1/2017,2698
6/1/2018,2698
4/1/2018,2702
8/1/2016,2707
9/1/2015,2708
3/1/2018,2716
5/1/2016,2717
1/1/2017,2718
7/1/2017,2719
10/1/2014,2721
1/1/2015,2722
9/1/2015,2723
3/1/2015,2726
7/1/2016,2735
5/1/2018,2737
7/1/2017,2738
5/1/2017,2741
10/1/2014,2743
5/1/2015,2747
1/1/2018,2747
3/1/2015,2748
5/1/2015,2749
5/1/2016,2749
4/1/2015,2750
3/1/2015,2752
2/1/2015,2761
5/1/2014,2768
6/1/2016,2769
4/1/2015,2770
8/1/2016,2776
11/1/2014,2779
3/1/2018,2785
9/1/2016,2791
4/1/2015,2796
6/1/2016,2800
6/1/2017,2801
3/1/2015,2801
7/1/2014,2802
8/1/2015,2802
5/1/2014,2804
7/1/2015,2806
11/1/2015,2817
8/1/2016,2818
6/1/2016,2820
6/1/2016,2822
1/1/2018,2822
12/1/2015,2823
7/1/2015,2828
4/1/2016,2833
2/1/2015,2834
9/1/2015,2835
4/1/2015,2835
2/1/2016,2845
7/1/2017,2848
8/1/2018,2857
12/1/2018,2862
9/1/2018,2868
12/1/2017,2872
2/1/2016,2891
4/1/2016,2896
3/1/2016,2896
2/1/2018,2897
9/1/2015,2898
8/1/2015,2901
10/1/2014,2912
5/1/2018,2915
4/1/2014,2918
8/1/2018,2919
10/1/2018,2920
7/1/2015,2929
5/1/2018,2945
3/1/2016,2948
5/1/2015,2951
10/1/2017,2952
9/1/2015,2959
9/1/2016,2960
11/1/2014,2964
1/1/2015,2965
7/1/2017,2972
6/1/2018,2986
10/1/2017,2986
8/1/2015,2991
12/1/2016,2993
4/1/2015,2996
10/1/2015,2998
9/1/2015,3008
11/1/2015,3009
11/1/2017,3010
7/1/2015,3011
5/1/2015,3013
5/1/2015,3018
10/1/2015,3021
4/1/2018,3024
7/1/2015,3027
7/1/2015,3034
1/1/2015,3037
11/1/2014,3039
12/1/2014,3043
4/1/2015,3043
8/1/2014,3052
2/1/2014,3055
9/1/2016,3061
5/1/2016,3069
4/1/2014,3071
4/1/2015,3073
6/1/2016,3074
11/1/2015,3075
10/1/2015,3076
2/1/2015,3078
6/1/2018,3084
12/1/2014,3084
2/1/2015,3084
12/1/2018,3089
5/1/2016,3099
3/1/2015,3102
12/1/2018,3102
2/1/2018,3103
3/1/2017,3103
11/1/2015,3103
1/1/2015,3105
4/1/2017,3112
7/1/2015,3117
8/1/2014,3120
5/1/2017,3127
5/1/2014,3129
5/1/2015,3129
2/1/2015,3133
8/1/2016,3135
1/1/2016,3140
3/1/2016,3151
8/1/2017,3154
5/1/2014,3155
1/1/2015,3158
7/1/2014,3164
9/1/2018,3170
8/1/2014,3170
3/1/2016,3172
10/1/2015,3173
10/1/2015,3176
12/1/2017,3182
2/1/2015,3183
3/1/2016,3183
4/1/2015,3189
2/1/2015,3191
9/1/2014,3191
9/1/2017,3193
5/1/2015,3194
8/1/2015,3194
10/1/2017,3195
8/1/2014,3200
8/1/2015,3207
3/1/2015,3210
1/1/2019,3211
12/1/2018,3217
3/1/2016,3218
5/1/2018,3220
11/1/2018,3221
5/1/2015,3226
1/1/2017,3231
5/1/2016,3235
10/1/2015,3238
8/1/2018,3243
12/1/2014,3257
10/1/2014,3258
6/1/2015,3269
10/1/2018,3273
7/1/2014,3273
12/1/2016,3275
6/1/2016,3275
7/1/2015,3287
4/1/2015,3290
6/1/2017,3295
2/1/2015,3300
1/1/2015,3301
9/1/2016,3305
11/1/2014,3307
1/1/2017,3307
11/1/2015,3308
8/1/2018,3312
8/1/2018,3314
6/1/2017,3317
8/1/2017,3331
8/1/2018,3332
3/1/2015,3334
10/1/2015,3342
4/1/2015,3348
7/1/2014,3351
2/1/2018,3351
10/1/2017,3352
9/1/2018,3355
4/1/2017,3356
8/1/2015,3358
11/1/2015,3361
11/1/2014,3362
3/1/2015,3363
3/1/2017,3368
11/1/2016,3370
9/1/2014,3370
10/1/2015,3371
8/1/2017,3375
7/1/2017,3380
8/1/2015,3380
8/1/2015,3392
8/1/2015,3395
2/1/2015,3402
5/1/2017,3406
2/1/2017,3406
6/1/2014,3412
5/1/2015,3413
9/1/2017,3414
12/1/2014,3426
9/1/2015,3428
3/1/2015,3435
1/1/2017,3436
9/1/2015,3439
10/1/2015,3440
12/1/2015,3442
12/1/2014,3447
12/1/2014,3448
10/1/2014,3449
6/1/2015,3451
7/1/2015,3452
10/1/2014,3453
12/1/2017,3460
3/1/2015,3466
10/1/2017,3474
6/1/2016,3477
6/1/2018,3479
7/1/2017,3480
4/1/2017,3485
8/1/2014,3494
12/1/2014,3494
6/1/2015,3497
9/1/2018,3503
6/1/2015,3504
4/1/2015,3504
7/1/2018,3504
12/1/2015,3504
3/1/2016,3507
8/1/2017,3510
4/1/2015,3519
11/1/2015,3520
11/1/2017,3528
1/1/2015,3534
11/1/2014,3538
3/1/2018,3538
5/1/2015,3539
10/1/2016,3539
6/1/2017,3541
4/1/2015,3546
8/1/2014,3548
10/1/2015,3549
7/1/2015,3554
4/1/2015,3557
3/1/2017,3557
9/1/2014,3562
9/1/2017,3563
12/1/2015,3564
10/1/2017,3564
6/1/2015,3566
1/1/2015,3566
7/1/2015,3567
8/1/2015,3573
6/1/2017,3580
1/1/2019,3581
11/1/2014,3591
1/1/2018,3598
9/1/2016,3599
5/1/2015,3602
6/1/2018,3602
2/1/2018,3603
6/1/2015,3604
9/1/2015,3606
2/1/2015,3609
5/1/2015,3613
9/1/2014,3615
10/1/2016,3618
12/1/2014,3618
5/1/2017,3619
6/1/2015,3620
4/1/2014,3621
9/1/2014,3623
3/1/2017,3634
9/1/2015,3636
4/1/2014,3641
3/1/2014,3641
8/1/2014,3643
4/1/2015,3651
2/1/2018,3652
12/1/2016,3658
3/1/2015,3658
3/1/2017,3662
9/1/2014,3662
2/1/2018,3668
11/1/2015,3674
3/1/2014,3679
4/1/2018,3680
1/1/2019,3682
5/1/2015,3683
6/1/2016,3684
2/1/2015,3694
7/1/2018,3695
5/1/2014,3705
6/1/2014,3710
8/1/2015,3711
10/1/2015,3712
12/1/2015,3716
10/1/2014,3716
3/1/2015,3717
4/1/2015,3717
1/1/2015,3732
1/1/2014,3733
5/1/2018,3733
9/1/2015,3741
5/1/2016,3745
1/1/2015,3749
4/1/2016,3754
11/1/2016,3759
7/1/2018,3764
7/1/2015,3764
11/1/2014,3766
4/1/2017,3769
1/1/2016,3771
6/1/2015,3780
6/1/2015,3781
1/1/2015,3781
4/1/2016,3782
12/1/2015,3784
10/1/2014,3791
6/1/2015,3792
4/1/2014,3792
12/1/2015,3793
11/1/2015,3794
4/1/2018,3795
5/1/2015,3798
1/1/2015,3798
8/1/2014,3807
11/1/2014,3809
1/1/2015,3811
10/1/2015,3811
5/1/2014,3812
12/1/2015,3815
1/1/2015,3819
7/1/2016,3819
10/1/2015,3823
9/1/2016,3824
11/1/2015,3825
11/1/2016,3826
5/1/2018,3830
8/1/2015,3830
12/1/2017,3833
6/1/2016,3836
5/1/2015,3837
1/1/2016,3842
5/1/2016,3844
12/1/2014,3848
5/1/2015,3852
9/1/2015,3868
7/1/2016,3868
6/1/2015,3871
11/1/2016,3873
8/1/2016,3877
3/1/2016,3878
12/1/2017,3902
7/1/2015,3908
12/1/2015,3909
10/1/2014,3911
10/1/2014,3914
12/1/2017,3916
4/1/2015,3918
7/1/2015,3924
12/1/2015,3935
9/1/2015,3937
9/1/2017,3938
5/1/2015,3947
7/1/2015,3953
1/1/2015,3955
8/1/2015,3960
7/1/2018,3960
11/1/2015,3977
8/1/2018,3977
3/1/2018,3979
10/1/2014,3979
4/1/2017,3979
8/1/2016,3983
6/1/2014,3986
4/1/2018,3987
7/1/2014,3995
9/1/2014,3996
11/1/2018,3997
7/1/2017,4004
1/1/2015,4007
11/1/2014,4009
11/1/2014,4011
3/1/2016,4013
4/1/2017,4015
1/1/2018,4018
6/1/2017,4020
10/1/2014,4022
10/1/2015,4024
10/1/2018,4024
7/1/2017,4028
2/1/2017,4029
10/1/2015,4029
5/1/2016,4030
10/1/2017,4030
8/1/2016,4035
11/1/2014,4038
5/1/2018,4039
9/1/2018,4044
5/1/2016,4045
2/1/2015,4046
5/1/2015,4049
11/1/2018,4053
8/1/2015,4056
4/1/2014,4060
3/1/2015,4060
7/1/2015,4061
4/1/2015,4063
9/1/2014,4064
11/1/2014,4064
10/1/2014,4064
10/1/2015,4064
7/1/2015,4075
8/1/2014,4083
5/1/2014,4084
6/1/2017,4085
4/1/2015,4087
4/1/2015,4089
5/1/2017,4090
7/1/2014,4094
6/1/2015,4097
3/1/2016,4098
12/1/2016,4102
10/1/2017,4103
1/1/2017,4109
10/1/2014,4115
7/1/2014,4116
10/1/2015,4116
2/1/2018,4117
